isoo,wH_data,wL_data,w_data,GDPc_data,Hn_data,WR_data,Hr_data,mH_data,mL_data,GNIc_data,RemGDP_data,wap_data,exp_prim_data,exp_seco_data,exp_tert_data,cs_h_data,RemiT_data,GovExp_data,EduExp_data,GovCons_data,c_low,c_high
AFG,8880.261436329592,1884.605939905223,2432.924384827931,868.8580032192189,.08277393,4.711999070095355,.0783798523530734,.0743967103629592,.0178233748175922,868.8580032192189,.0131942519814848,.492320709228516,.1195215,.132609,.9609478,0,201386894.4351925,.2110080476916,.034794499874115,.1309781931,.2521305,.9609478
AGO,22523.17725086372,5453.554651986676,5960.295752858761,1684.254945414132,.03646607,4.129999365213796,.0296867196645239,.210903021594847,.0238825129177981,1684.254945414132,.0002992901740474,.497721748352051,0,0,.8214674,.1464419960975647,28161928.41789602,.37934022601926,.0342131996154785,.1704234391773199,.9740934999999999,.8214674
ALB,17449.69104727095,5612.638982323155,6538.058688250752,4148.936170212765,.09066223,3.108999367717798,.0781799134488879,.3828606335691953,.2745033705045903,4148.936170212765,.1411034501538176,.670697784423828,.2984568,.5903204411124787,.1285083,.2119834125041962,1628344662.658443,.30025296630281,.0327592992782593,.1115738249026482,.1871765,.1285083
ARE,10138.75118002739,3559.955473268094,4590.790477058265,15589.21876254355,.1569768,2.847999435992906,.1566905326959845,.0031437535385727,.0009834140757843,15589.21876254355,0,.85805549621582,0,0,0,.0755495578050613,0,.2527431182278,.01294,.1003107177489373,.3280683,.2465824
ARG,38425.25875829196,16663.16870365613,19143.71182625083,10995.4300676844,.12114354,2.305999503555462,.1139845996578019,.0811867418105148,.0155250801356625,10995.4300676844,.0018914678124196,.6450208282470701,.1368048,.1926875,.1612808,.1980561465024948,650580011.3470304,.387632,.0501971006393433,.1516371788864165,.3539683,.1612808
ARM,40757.37912358624,13173.0402758186,18444.66494324739,11630.45301702561,.2074926600000001,3.093999431429924,.1911093355009089,.1352794181419794,.0417404373109367,11630.45301702561,.1765541461234051,.6893729400634769,.1078627,.2133426232660236,.0745566,.1639247089624405,1745364372.455301,.26200528173868,.0324900007247925,.1204370772845186,.2232576,.0745566
AUS,35676.72421504366,28136.22408845078,30541.00268084137,25301.23292235921,.3013255200000001,1.267999718188485,.3189149992730221,.0389977410782802,.0127787147958291,25301.23292235921,.0015089965368801,.676087112426758,.2233566,.4417790669784822,.1906647,.1477067172527313,1915950259.39522,.371573,.0555005979537964,.1799900246770124,.3837471,.2228509
AUT,31793.09932239578,24418.66770768253,25994.872716522,24130.54703454364,.22893564,1.301999752934642,.2137391857692031,.0702203488380335,.0389550239474043,24130.54703454364,.0075575185380426,.674177703857422,.2490171,.2843686,.3427502,.162770614027977,2978032763.808791,.525259,.0570047998428345,.204925476679965,.6271188,.3427502
AZE,30045.2432899153,9339.524232756523,12078.17795844384,8097.45659085351,.13647301,3.216999339702721,.1322655696296846,.0430227563340379,.0077696933063849,8097.45659085351,.0339769138578992,.7138262939453131,0,0,.1955726,.1367668211460114,1613305600,.31673799608148,.0278062009811401,.1088143176733781,.4677351,.1955726
BDI,5889.895645541754,1275.974068523428,1328.649068256697,479.1160515958742,.01457503,4.615999486852902,.0114165355552726,.222025556519878,.0036079962882492,479.1160515958742,.0078604011996141,.5354119110107419,.1443146,.4860981,3.6215911,.2086289674043655,31654623.98123885,.40950266472322,.0677524995803833,.2190000027988279,4.1076892,3.6215911
BEL,36647.99065508044,27932.92525336217,30561.14103550669,23654.76346438003,.3117115,1.311999739471228,.3015715500684981,.0593887342598867,.0369181848577846,23654.76346438003,.0198765690787014,.6605982971191411,.225828,.4466672716974411,.3475718,.1867416054010391,11092664398.80591,.529423,.0644259023666382,.237326860900242,.5928354,.3475718
