isoo,isod,Nijl,Nijh,dums
AFG,AFG,9605930,816943,1
AFG,AGO,0,0,0
AFG,ALB,0,0,0
AFG,ARE,0,0,0
AFG,ARG,0,0,0
AFG,ARM,0,0,0
AFG,AUS,12187,3105,0
AFG,AUT,2285,0,0
AFG,AZE,0,0,0
AFG,BDI,0,0,0
AFG,BEL,1286,302,0
AFG,BEN,0,0,0
AFG,BFA,0,0,0
AFG,BGD,0,0,0
AFG,BGR,0,0,0
AFG,BHR,0,0,0
AFG,BHS,0,0,0
AFG,BIH,0,0,0
AFG,BLR,0,0,0
AFG,BLZ,0,0,0
AFG,BOL,0,0,0
AFG,BRA,0,0,0
AFG,BRB,0,0,0
AFG,BRN,0,0,0
AFG,BTN,0,0,0
AFG,BWA,0,0,0
AFG,CAF,0,0,0
AFG,CAN,19855,11180,0
AFG,CHE,0,0,0
AFG,CHL,0,0,0
AFG,CHN,0,0,0
AFG,CIV,0,0,0
AFG,CMR,0,0,0
AFG,COG,0,0,0
AFG,COL,0,0,0
AFG,COM,0,0,0
AFG,CPV,0,0,0
AFG,CRI,0,0,0
AFG,CUB,0,0,0
AFG,CYP,0,0,0
AFG,CZE,103,126,0
AFG,DEU,30706,5180,0
AFG,DJI,0,0,0
AFG,DNK,3191,1277,0
AFG,DOM,0,0,0
AFG,DZA,0,0,0
AFG,ECU,0,0,0
AFG,EGY,0,0,0
AFG,ERI,0,0,0
AFG,ESP,50,15,0
AFG,EST,4,3,0
AFG,ETH,0,0,0
AFG,FIN,1231,197,0
AFG,FJI,0,0,0
AFG,FRA,1754,1414,0
AFG,FSM,0,0,0
AFG,GAB,0,0,0
AFG,GBR,28089,10490,0
AFG,GEO,0,0,0
AFG,GHA,0,0,0
AFG,GIN,0,0,0
AFG,GMB,0,0,0
AFG,GNB,0,0,0
AFG,GNQ,0,0,0
AFG,GRC,3046,76,0
AFG,GRD,0,0,0
AFG,GTM,0,0,0
AFG,GUY,0,0,0
AFG,HND,0,0,0
AFG,HRV,0,0,0
AFG,HTI,0,0,0
AFG,HUN,227,124,0
AFG,IDN,0,0,0
AFG,IND,0,0,0
AFG,IRL,256,72,0
AFG,IRN,0,0,0
AFG,IRQ,0,0,0
AFG,ISL,6,2,0
AFG,ISR,0,0,0
AFG,ITA,1432,287,0
AFG,JAM,0,0,0
AFG,JOR,0,0,0
AFG,JPN,143,63,0
AFG,KAZ,0,0,0
AFG,KEN,0,0,0
AFG,KGZ,0,0,0
AFG,KHM,0,0,0
AFG,KWT,0,0,0
AFG,LAO,0,0,0
AFG,LBN,0,0,0
AFG,LBR,0,0,0
AFG,LBY,0,0,0
AFG,LCA,0,0,0
AFG,LKA,0,0,0
AFG,LSO,0,0,0
AFG,LTU,0,0,0
AFG,LUX,11,1,0
AFG,LVA,11,10,0
AFG,MAR,0,0,0
AFG,MDA,0,0,0
AFG,MDG,0,0,0
AFG,MDV,0,0,0
AFG,MEX,0,0,0
AFG,MKD,0,0,0
AFG,MLI,0,0,0
AFG,MLT,0,0,0
AFG,MMR,0,0,0
AFG,MNG,0,0,0
AFG,MOZ,0,0,0
AFG,MRT,0,0,0
AFG,MUS,0,0,0
AFG,MWI,0,0,0
AFG,MYS,0,0,0
AFG,NAM,0,0,0
AFG,NER,0,0,0
AFG,NGA,0,0,0
AFG,NIC,0,0,0
AFG,NLD,13760,6875,0
AFG,NOR,3251,890,0
AFG,NPL,0,0,0
AFG,NZL,1020,282,0
AFG,OMN,0,0,0
AFG,PAK,0,0,0
AFG,PAN,0,0,0
AFG,PER,0,0,0
AFG,PHL,0,0,0
AFG,PNG,0,0,0
AFG,POL,65,73,0
AFG,PRT,18,2,0
AFG,PRY,0,0,0
AFG,QAT,0,0,0
AFG,ROM,0,0,0
AFG,RWA,0,0,0
AFG,SAU,0,0,0
AFG,SDN,0,0,0
AFG,SEN,0,0,0
AFG,SGP,0,0,0
AFG,SLB,0,0,0
AFG,SLE,0,0,0
AFG,SLV,0,0,0
AFG,SOM,0,0,0
AFG,SRB,0,0,0
AFG,STP,0,0,0
AFG,SUR,0,0,0
AFG,SVK,28,70,0
AFG,SVN,5,0,0
AFG,SWE,4920,1865,0
AFG,SWZ,0,0,0
AFG,SYR,0,0,0
AFG,TCD,0,0,0
AFG,TGO,0,0,0
AFG,THA,0,0,0
AFG,TJK,0,0,0
AFG,TKM,0,0,0
AFG,TON,0,0,0
AFG,TTO,0,0,0
AFG,TUN,0,0,0
AFG,TUR,15325,1458,0
AFG,TZA,0,0,0
AFG,UGA,0,0,0
AFG,UKR,0,0,0
AFG,URY,0,0,0
AFG,USA,30052,20224,0
AFG,UZB,0,0,0
AFG,VCT,0,0,0
AFG,VEN,0,0,0
AFG,VNM,0,0,0
AFG,VUT,0,0,0
AFG,WSM,0,0,0
AFG,YEM,0,0,0
AFG,ZAF,0,0,0
AFG,ZAR,0,0,0
AFG,ZMB,0,0,0
AFG,ZWE,0,0,0
AGO,AFG,0,0,0
AGO,AGO,6404055,195932,1
AGO,ALB,0,0,0
AGO,ARE,0,0,0
AGO,ARG,0,0,0
AGO,ARM,0,0,0
AGO,AUS,243,149,0
AGO,AUT,0,0,0
AGO,AZE,0,0,0
AGO,BDI,0,0,0
AGO,BEL,2163,399,0
