iso,NIR6_NM,NIR6_NS,NIR6_PESC,NIR6_PESC4,NIR6_SC,NIR6_SC4,NIR7_NM,NIR7_NS,NIR7_PESC,NIR7_PESC4,NIR7_SC,NIR7_SC4,NIR5_NM,NIR5_PESC
"AFG",0.0473229812606417,0.027091293151662,0.0287860121566952,0.016191239326659,0.0257548103861809,0.0131414821342918,0.354045692495102,0.344268015879643,0.367340273966689,0.334567379499473,0.311013110893021,0.312284124417974,0.0383800327704452,0.0198222042670886
"AGO",0.0460043469366746,0.0172448256956983,0.0278218006569435,0.0222354753718145,0.0230390421238325,0.0174152708317358,0.158276685351719,0.131925510615071,0.179851945758925,0.139600326189179,0.122291279341258,0.124367853414958,0.0451909990032785,0.0269898551473379
"ALB",0.146612105942781,0.0359033488234432,0.152464549381137,-0.0065218772653631,0.155018300461388,-0.00417455507172605,0.694973596958013,0.768938414391833,0.9,0.721177449746347,0.699275698269784,0.724195070410869,-0.00611317971543265,-0.00638970787898824
"ARE",0.000318572578986515,0.00045131452340915,0.0003163028006986,4.87366425574215e-05,0.000301180231578241,3.96887892900052e-05,0.0121061079476235,0.0122601638807106,0.0134443285426203,0.0118575496993272,0.012075332110157,0.012085794737766,0.000318572578986515,0.0003163028006986
"ARG",0.00848211707005667,0.00846000695623605,0.00787914409436785,0.00300845826496907,0.00696250437150521,0.00213798302608053,0.0287193939413348,0.0318596303098096,0.0532293372567575,0.0264609716925971,0.0261733600019611,0.0275970613695211,0.00684084983427042,0.00622410456800679
"ARM",0.0630220080854512,0.0137784503583588,0.0639059405242991,-0.00336525707311485,0.0644328805299279,-0.00247979353560226,0.0949754665533715,0.107238765544426,0.168002553221553,0.0907220078978326,0.0959374480651857,0.0982248787834234,0.00513927415855336,0.00516280653268985
"AUS",0.0489352796869265,0.0249360419830081,0.0177121624965775,0.0159602432147804,0.016535345558643,0.0136728557213537,0.0586919461940589,0.0402669489682664,0.0516650140437459,0.0338992247872457,0.0157351321165441,0.00903568685366044,0.04492326613685,0.0136878357660054
"AUT",0.0348022608527915,0.0135639558217893,0.0261246553500623,0.00539109419113887,0.0256442885314165,0.00452950251285525,0.0351770069158598,0.0365641955852363,0.0760173419549756,0.026792487716171,0.0223413098684947,0.0234929844666033,0.0173615850314372,0.00844744727470525
"AZE",0.0248822373420019,0.00310789169760978,0.0249177433904614,-0.00141750535953282,0.0252860375272445,-0.000759208763446896,0.0199036469516259,0.022449380727057,0.0330024254211197,0.0181090122388545,0.0204708452774372,0.0208026925811247,0.00106602107580492,0.00102209931876512
"BDI",0.0527211198684989,-8.89895138880676e-05,0.031971134809641,0.0200396856893667,0.0276218732885801,0.0159003901389753,0.243726588768311,0.200814911473431,0.234374926891048,0.224719833752006,0.209518745742513,0.210670302314979,0.0436304172525458,0.0226410334355902
