isoo,G,gnic,lic,lmic,umic,hic
"AFG",0.987907217828781,868.858003219219,1,0,0,0
"AGO",0.71616622932557,1684.25494541413,0,1,0,0
"ALB",0.147302443210524,4148.93617021277,0,0,1,0
"ARE",0.301648180193872,15589.2187625436,0,0,0,1
"ARG",0.252393583790823,10995.4300676844,0,0,1,0
"ARM",0.351257991108117,11630.4530170256,0,0,1,0
"AUS",1.71576360229401,25301.2329223592,0,0,0,1
"AUT",1.1697254764162,24130.5470345436,0,0,0,1
"AZE",0.237621509547692,8097.45659085351,0,0,1,0
"BDI",0.697884876993836,479.116051595874,1,0,0,0
"BEL",1.62007607948178,23654.76346438,0,0,0,1
"BEN",0.591521960262948,1393.83937762077,0,1,0,0
"BFA",0.555664387135636,1063.49700797295,0,1,0,0
"BGD",0.893973925786278,1145.52326219037,0,1,0,0
"BGR",0.93051570281587,8886.39516431618,0,0,1,0
"BHR",0.348619210403126,7347.84339821747,0,0,1,0
"BHS",0.22290645013801,13511.6094768258,0,0,0,1
"BIH",0.156510350037526,7274.23638054946,0,0,1,0
"BLR",0.462727737987409,12607.0617385918,0,0,0,1
"BLZ",0.198949694110565,4567.69495255335,0,0,1,0
"BOL",1.76230409153721,2958.96260806166,0,1,0,0
"BRA",0.132590606363857,6428.94832003178,0,0,1,0
"BRB",0.258969254935994,13935.3607461695,0,0,0,1
"BRN",0.272075162650975,28974.3345572337,0,0,0,1
"BTN",0.808556847751068,3908.23593050529,0,1,0,0
"BWA",0.0657769653790037,4768.83765153316,0,0,1,0
"CAF",0.672663572652479,535.738795273978,1,0,0,0
"CAN",3.39373220759862,25267.1845361756,0,0,0,1
"CHE",0.610222899404345,25104.2007407486,0,0,0,1
"CHL",0.269904103828685,13185.1221587456,0,0,0,1
"CHN",0.311302260676579,6724.77970026857,0,0,1,0
"CIV",0.7386524158607,1095.06619605283,0,1,0,0
"CMR",0.686217216954123,1211.73777427087,0,1,0,0
"COG",0.789844518222956,2159.02135974044,0,1,0,0
"COL",0.257277070757449,6329.60856622384,0,0,1,0
"COM",0.837475879816105,549.349185200369,1,0,0,0
"CPV",0.682736344991738,2735.37580972276,0,1,0,0
"CRI",0.310257187199181,8032.4118207817,0,0,1,0
"CUB",1.00066415370499,3763.65546218487,0,1,0,0
"CYP",0.683125208656664,15973.7974472228,0,0,0,1
"CZE",1.21385669145687,12867.9332008663,0,0,0,1
"DEU",1.52069984543114,20801.4374438476,0,0,0,1
"DJI",0.673851575701495,1254.39284423207,0,1,0,0
"DNK",0.818964924927793,24620.5688053891,0,0,0,1
"DOM",0.323780046711042,4464.07909961081,0,0,1,0
"DZA",0.993532682925114,3520.37800548178,0,1,0,0
"ECU",1.45146019807511,3987.11160652083,0,1,0,0
"EGY",1.16110164998021,3725.00182558536,0,1,0,0
"ERI",0.762824186493903,867.004189950479,1,0,0,0
"ESP",0.677246693048589,19706.2555871914,0,0,0,1
"EST",0.881262876863292,19950.9790800739,0,0,0,1
"ETH",0.812560155145688,867.004189950479,1,0,0,0
"FIN",1.12613966564758,24343.5863184301,0,0,0,1
"FJI",0.933899373546089,2970.69604934891,0,1,0,0
"FRA",0.804633358898838,22223.0166411689,0,0,0,1
"FSM",0.235469590817798,4545.16495550383,0,0,1,0
"GAB",0.84837580120001,3811.33264056771,0,1,0,0
"GBR",0.738556966899917,23742.4699615607,0,0,0,1
"GEO",1.15876388343661,5984.0102478146,0,0,1,0
"GHA",0.839421673970289,1650.35499525122,0,1,0,0
"GIN",0.807475758805496,627.644353357551,1,0,0,0
"GMB",0.729142561613988,1042.94874454325,0,1,0,0
"GNB",0.659648599382996,616.691791147047,1,0,0,0
"GNQ",0.0818589073251793,22048.5060644747,0,0,0,1
"GRC",0.813430189903788,16361.8400241131,0,0,0,1
"GRD",0.255259788444469,5410.20816491036,0,0,1,0
"GTM",0.0738632652142722,4460.62144285495,0,0,1,0
"GUY",0.841562052449273,2676.87373293746,0,1,0,0
"HND",0.734471179021251,2323.11039964646,0,1,0,0
"HRV",0.247777406776517,8903.62176205371,0,0,1,0
"HTI",0.760930347010672,685.830233344606,1,0,0,0
"HUN",0.437202925922099,9500.0309639142,0,0,1,0
"IDN",0.106096166787896,4427.68599764123,0,0,1,0
"IND",0.931243854832274,2974.90844915836,0,1,0,0
"IRL",1.21451796142065,27898.3830828713,0,0,0,1
"IRN",0.200654314931968,6944.26491732711,0,0,1,0
"IRQ",1.13102465348637,1048.92846263237,0,1,0,0
"ISL",0.685777015457286,19241.9343624518,0,0,0,1
"ISR",1.27118494331089,17936.6648955712,0,0,0,1
"ITA",0.354710996518905,19909.3577968208,0,0,0,1
"JAM",0.956448780888328,3668.33095577746,0,1,0,0
"JOR",0.44014662517235,5702.18451453431,0,0,1,0
"JPN",1.14906338025938,22815.5128527434,0,0,0,1
"KAZ",0.490269801609213,11245.4371696212,0,0,1,0
"KEN",0.684809489972775,1098.41328826876,0,1,0,0
"KGZ",1.31550575997841,2834.67824208507,0,1,0,0
"KHM",0.632247964334188,2481.73665392469,0,1,0,0
"KWT",0.350843916488366,12894.336450376,0,0,0,1
"LAO",0.773662190867541,1669.17907119604,0,1,0,0
"LBN",0.316983985134784,4452.73482158975,0,0,1,0
"LBR",0.639928785769261,801.59851879708,1,0,0,0
"LBY",1.09274963180031,2993.56337709455,0,1,0,0
"LCA",0.251560758923644,6936.65643207207,0,0,1,0
"LKA",0.127788848832149,4895.07838434347,0,0,1,0
"LSO",0.77927214768995,1951.90256463269,0,1,0,0
"LTU",0.962003473320051,11341.8442978735,0,0,1,0
"LUX",1.03405191728088,35572.3028141243,0,0,0,1
"LVA",0.714862843647599,14816.361995045,0,0,0,1
"MAR",0.811330348798297,3464.93437321644,0,1,0,0
"MDA",1.22410461989403,3540.4717853839,0,1,0,0
"MDG",0.750948536737412,729.897107409132,1,0,0,0
"MDV",0.0794260197016894,7807.72405648712,0,0,1,0
"MEX",0.181702914657664,7978.79867655431,0,0,1,0
"MKD",0.225260870990944,4063.42553176007,0,0,1,0
"MLI",0.487503176578214,1145.48578228759,0,1,0,0
"MLT",0.345331717201198,13962.1802263642,0,0,0,1
"MMR",0.946285325364727,3103.82424322233,0,1,0,0
"MNG",0.933751469204104,1001.30804207229,0,1,0,0
"MOZ",0.463086533052521,2159.76724314803,0,1,0,0
"MRT",0.836494422800251,1299.21016271061,0,1,0,0
"MUS",0.0855744195698551,14529.2417372933,0,0,0,1
"MWI",0.700073196895195,743.836183485143,1,0,0,0
"MYS",0.27245560810191,10292.1829207752,0,0,1,0
"NAM",0.0903075725076076,4570.85349569511,0,0,1,0
"NER",0.66009174840226,514.435930390833,1,0,0,0
"NGA",0.892849671415306,1524.44383795553,0,1,0,0
"NIC",0.958809024792941,1673.86795713792,0,1,0,0
"NLD",0.959077760472607,24694.9396505791,0,0,0,1
"NOR",2.88141206543224,28499.5641040492,0,0,0,1
"NPL",0.740654934354281,1133.88109923907,0,1,0,0
"NZL",1.82240327638632,18653.247064462,0,0,0,1
"OMN",0.300757114243594,8332.42743776498,0,0,1,0
"PAK",0.903978726314617,2239.03869102446,0,1,0,0
"PAN",0.32077584525041,6674.92447129909,0,0,1,0
"PER",0.425828248469363,5387.88938007608,0,0,1,0
"PHL",1.31117701636368,2926.45299583185,0,1,0,0
"PNG",1.02522023464047,1633.8828271419,0,1,0,0
"POL",0.535677923690035,10160.1280143091,0,0,1,0
