iso,Lambda,LambdaNM,LambdaPESC,LambdaSC,Hr,Hn,HrNM,HrPESC,HnSC,Niih,Niil,Mh,Ml,L,N,LIC,LMIC,UMIC,HIC,mH,mL,HnNM,HnPE,HnGE
"AFG",3.1405690856831,2.95967236378979,3.0375142867676,3.02567456362608,0.0783798286710392,0.0827739067583507,0.0689656339019437,0.0730700888171076,0.0739470408366468,816943,9605930,65662.9999999928,174317.00000327,10422873,10662853,1,0,0,0,0.074396729684585,0.0178233739907867,0.0689656339019437,0.0748480514199722,0.0739470408366467
"AGO",3.33838701038113,2.6987645043178,2.88615123009157,2.85431716365864,0.0296867251405192,0.0364660750317115,0.0218330157034458,0.0244841861053191,0.0254061589427163,195932,6404055,52367.0000000049,156687.000000522,6599987,6809041,0,1,0,0,0.210902983902492,0.0238825120695986,0.0218330157034458,0.0261397888114972,0.0254061589427163
"ALB",2.60067531008983,2.21225122166717,2.19270336548067,2.19193994308577,0.0781801107028637,0.0906623687502347,0.0807175808007676,0.0807805797322155,0.0801005822858335,144520,1704032,89656.9999999984,644748.000000077,1848552,2582957,0,0,1,0,0.382859973438888,0.274503359190761,0.0807175808007676,0.0801239796164606,0.0801005822858335
"ARE",2.08505777430682,2.08054890775924,2.08069400173901,2.08065744789258,0.156690535481182,0.156976802781246,0.156663277859253,0.156664174395857,0.156670841180475,4549306,24484394,14346.9999998796,24102.0000013301,29033700,29072149,0,0,0,1,0.00314375347991612,0.000983414078176406,0.156663277859253,0.156673388157292,0.156670841180475
"ARG",1.92299807640412,1.79473960505284,1.80671798005078,1.80409404426121,0.11398459869013,0.121143538932337,0.111763944215119,0.112032846820074,0.112493125389731,2670358,20757000,235953.999999987,327336.000000785,23427358,23990648,0,0,1,0,0.0811867411344642,0.0155250798507852,0.111763944215119,0.112696305866058,0.112493125389731
"ARM",2.44327078414016,2.20477441572119,2.20092867806584,2.20172814640265,0.191109170989225,0.207492513540827,0.191941015818734,0.191933256346727,0.191720587872378,346733,1467586,54244.0000000008,63926.000000087,1814319,1932489,0,0,1,0,0.135279579626764,0.0417404499606186,0.191941015818734,0.191662637288292,0.191720587872378
"AUS",1.2130355011056,1.18081921032254,1.23780452333075,1.21374008769869,0.318914993367803,0.301325524653081,0.262735410259985,0.289865756432569,0.302146618160952,4252854,10130002,172582.00000003,131123.999999925,18251870,14686562,0,0,0,1,0.0389977394317826,0.0127787145387285,0.262735410259985,0.329629063314347,0.302146618160953
"AUT",1.2433440317902,1.20289475512893,1.22531326737063,1.21668086143603,0.213739161101908,0.228935601282447,0.197300024040837,0.204591537755509,0.20831849329362,1558015,5423912,117666.999999988,219852.99999998,7763589,7319447,0,0,0,1,0.0702203640070062,0.0389550238183163,0.197300024040837,0.215091663524997,0.20831849329362
"AZE",2.34923546425865,2.26576925929741,2.2623906324282,2.26325328834957,0.132265627097848,0.136473066506169,0.132746969224299,0.132762071618821,0.132630384263181,802880,5267329,36095.0000000159,41246.0000000648,6070209,6147550,0,0,1,0,0.0430227360767793,0.0077696933734693,0.132746969224299,0.132590350851346,0.132630384263181
"BDI",3.73638206365629,2.9173331455026,3.18791737304577,3.14052368055553,0.0114164942706562,0.014574989015343,0.00736920519098369,0.00886694824032618,0.009268320334049,35716,3092740,10192.9999999999,11198.9999996623,3128456,3149848,1,0,0,0,0.222026182230062,0.0036079961621869,0.00736920519098369,0.00968140036511285,0.00926832033404899
