iso,Lambdap,LambdaNMp,LambdaPESCp,LambdaSCp,Hr,Hn,HrNMp,HrPESCp,HrSCp,HnNM,HnPE,HnGE
"AFG",3.1405690856831,2.95967236378979,2.98204000059487,2.97720913164794,0.0783798286710392,0.0827739067583507,0.0765463651915486,0.0768044493914939,0.0771691729647482,0.0765463651915486,0.0773400049557105,0.0771691729647482
"AGO",3.33838701038113,2.6987645043178,2.69640484332098,2.69693689259314,0.0296867251405192,0.0364660750317115,0.0297650854717656,0.0297612066554707,0.0297425294378219,0.0297650854717656,0.0297359587650557,0.0297425294378219
"ALB",2.60067531008983,2.21225122166717,2.19270336548067,2.19193994308577,0.0781801107028637,0.0906623687502347,0.0807175808007676,0.0807805797322155,0.0801005822858335,0.0807175808007676,0.0801239796164606,0.0801005822858335
"ARE",2.08505777430682,2.08054890775924,2.08069400173901,2.08065744789258,0.156690535481182,0.156976802781246,0.156663277859253,0.156664174395857,0.156670841180475,0.156663277859253,0.156673388157292,0.156670841180475
"ARG",1.92299807640412,1.79473960505284,1.80671798005078,1.80409404426121,0.11398459869013,0.121143538932337,0.111763944215119,0.112032846820074,0.112493125389731,0.111763944215119,0.112696305866058,0.112493125389731
"ARM",2.44327078414016,2.20477441572119,2.20092867806584,2.20172814640265,0.191109170989225,0.207492513540827,0.191941015818734,0.191933256346727,0.191720587872378,0.191941015818734,0.191662637288292,0.191720587872378
"AUS",1.2130355011056,1.18081921032254,1.23742601308073,1.21374008769869,0.318914993367803,0.301325524653081,0.262735410259985,0.290049438227151,0.302146618160952,0.262735410259985,0.329205065333564,0.302146618160953
"AUT",1.2433440317902,1.20289475512893,1.22527773242733,1.21668086143603,0.213739161101908,0.228935601282447,0.197300024040837,0.204605670789425,0.20831849329362,0.197300024040837,0.215063977672631,0.20831849329362
"AZE",2.34923546425865,2.26576925929741,2.2623906324282,2.26325328834957,0.132265627097848,0.136473066506169,0.132746969224299,0.132762071618821,0.132630384263181,0.132746969224299,0.132590350851346,0.132630384263181
"BDI",3.73638206365629,2.9173331455026,2.96076707846053,2.95072200492531,0.0114164942706562,0.014574989015343,0.0108810473187385,0.0109461354670213,0.0110553027470906,0.0108810473187385,0.0111072939321561,0.0110553027470906
"BEL",1.2382451352996,1.20935449779382,1.23568017987504,1.222660476738,0.301571749186533,0.311711496979467,0.280455577439386,0.28819919257869,0.295034409856489,0.280455577439386,0.308995667359596,0.295034409856489
"BEN",3.58136455893804,2.93147514036491,2.90417756376379,2.9110694222135,0.0137170412444351,0.0167072158363531,0.0140866610524255,0.0140860345583899,0.0139896855728493,0.0140866610524255,0.0139566976085239,0.0139896855728493
