o_iso,d_iso,dumsa,cijha,cijla,migH,migL
"AFG","AFG",1,0,0,816943,9605930
"AFG","AGO",0,1,1,0,0
"AFG","ALB",0,1,1,0,0
"AFG","ARE",0,1,1,0,0
"AFG","ARG",0,1,1,0,0
"AFG","ARM",0,1,1,0,0
"AFG","AUS",0,0.999913161564046,0.999995125906286,3105,12187
"AFG","AUT",0,1,0.999999486132509,0,2285
"AFG","AZE",0,1,1,0,0
"AFG","BDI",0,1,1,0,0
"AFG","BEL",0,0.999996971312798,0.999999802384667,302,1286
"AFG","BEN",0,1,1,0,0
"AFG","BFA",0,1,1,0,0
"AFG","BGD",0,1,1,0,0
"AFG","BGR",0,1,1,0,0
"AFG","BHR",0,1,1,0,0
"AFG","BHS",0,1,1,0,0
"AFG","BIH",0,1,1,0,0
"AFG","BLR",0,1,1,0,0
"AFG","BLZ",0,1,1,0,0
"AFG","BOL",0,1,1,0,0
"AFG","BRA",0,1,1,0,0
"AFG","BRB",0,1,1,0,0
"AFG","BRN",0,1,1,0,0
"AFG","BTN",0,1,1,0,0
"AFG","BWA",0,1,1,0,0
"AFG","CAF",0,1,1,0,0
"AFG","CAN",0,0.999403842053946,0.999989383625834,11180,19855
"AFG","CHE",0,1,1,0,0
"AFG","CHL",0,1,1,0,0
"AFG","CHN",0,1,1,0,0
"AFG","CIV",0,1,1,0,0
"AFG","CMR",0,1,1,0,0
"AFG","COG",0,1,1,0,0
"AFG","COL",0,1,1,0,0
"AFG","COM",0,1,1,0,0
"AFG","CPV",0,1,1,0,0
"AFG","CRI",0,1,1,0,0
"AFG","CUB",0,1,1,0,0
"AFG","CYP",0,1,1,0,0
"AFG","CZE",0,0.999998141061088,0.999999990140201,126,103
"AFG","DEU",0,0.999786645623616,0.999978231310479,5180,30706
"AFG","DJI",0,1,1,0,0
"AFG","DNK",0,0.999981711065612,0.99999937480286,1277,3191
"AFG","DOM",0,1,1,0,0
"AFG","DZA",0,1,1,0,0
