iso,mH,mL,mi,ywd,ypwdSC,w,wH,wL,wHd,wLd,wHdd,wLdd,wHGEd,wLGEd,wHSCd,wLSCd,wHGE4d,wLGE4d,wHSC4d,wLSC4d,ywdPESC,ywdSC,ypnd,LhNM,LlNM,LNM,LhNS,LlNS,LNS,LhPESC,LlPESC,LPESC,LhSC,LlSC,LSC,Lh,Ll,L,wHGE,wLGE,wHGE4,wLGE4,rpc,Nh,N,thetH,thetHNew,TFP,TFPNew,LiT,LiTNew,lic,lmic,umic,hic
"AFG",0.074396729684585,0.0178233739907867,0.0225061716599922,2217.402775773,2157.03812868976,2432.92421915675,8880.26143632959,1884.60593990522,8093.60036924292,1717.65746317924,8112.92199912704,1736.97909306336,8286.44445026095,1704.03827687856,8185.9774369593,1694.01948771331,8277.86994277081,1702.45500890185,8300.43823542308,1717.85150189122,2176.66149748789,2157.03812868976,2841.09382064734,735370.416348242,9927482.58365176,10662853,718627.962982209,9701459.87386875,10420087.836851,765523.651411822,9711042.9410814,10476566.5924932,788486.426226161,9874366.57377384,10662853,816943,9605930,10422873,9083.19231899907,1867.88283934448,9082.50053629765,1867.93808531353,19.3216298841205,882606,10662853,0.578795063099902,0.575424170437895,7583.63802074948,7534.53648552783,0.320812281981295,0.314482793465619,1,0,0,0
"AGO",0.210902983902492,0.0238825120695986,0.030702414627923,5328.31381654996,5146.66905202344,5960.29584633196,22523.1772508637,5453.55465198668,20134.9999450509,4875.30339947366,20139.2669123067,4879.57036672948,21654.1239121791,4839.75244140832,21100.5444822898,4792.14211604192,21630.5484612026,4832.72718847673,21246.0551125342,4823.78680449248,5209.10614969833,5146.66905202344,5805.30010528613,148661.899078406,6660379.10092159,6809041,143868.075642919,6445605.29794278,6589473.3735857,162228.098472216,6463603.68431153,6625831.78278375,172991.577893472,6636049.42210653,6809041,195932,6404055,6599987,24189.8186085081,5406.48673400754,24197.6903844084,5406.28160348417,4.26696725582884,248299,6809041,0.419413316126426,0.411754747829198,14363.8001464655,14241.2555063192,0.414952574218223,0.412972171200697,0,1,0,0
"ALB",0.382859973438888,0.274503359190761,0.284327226508252,5913.64822200935,5534.90125641998,6538.06102315638,17449.691047271,5612.63898232315,15783.170892842,5076.60794554224,16664.046660826,5957.48371352628,15860.3659651819,5169.10235190152,15501.8722043649,5038.96761914754,15621.2415133481,5090.11538873327,17976.2923558031,5842.3242989059,5950.78288063701,5534.90125641998,10261.5688368817,208490.040352408,2374466.95964759,2582957,148888.756628054,1695675.40338501,1844564.16001306,148833.172020036,1693604.36078069,1842437.53280073,206896.35971927,2376060.64028073,2582957,144520,1704032,1848552,17268.9320380468,5628.17260387672,17271.7516725626,5627.92713394568,880.875767984045,234177,2582957,0.475178829044183,0.476044204995088,16125.3306781085,15445.3655917348,0.405452834032876,0.406550168969895,0,0,1,0
"ARE",0.00314375347991612,0.000983414078176406,0.00132253725038386,4355.38818739685,4351.65792960017,4590.79049538158,10138.7511800274,3559.95547326809,9618.86567659123,3377.4113699,9618.86567659123,3377.4113699,9619.53701892935,3377.39538369266,9616.58684730234,3376.40991095287,9619.3260004839,3377.32676212443,9619.32927696796,3377.37715874979,4355.17395217521,4351.65792960017,4406.64813067955,4554538.15675261,24517610.8432474,29072149,4548511.78950893,24485170.2045292,29033681.9940381,4548597.88733393,24485467.5259915,29034065.4133254,4554758.03875411,24517390.9612459,29072149,4549306,24484394,29033700,10139.2453174755,3559.86366724127,10139.2345851067,3559.8656610677,0,4563653,29072149,0.551092588180945,0.551087484649594,11552.4761508366,11547.6200742628,0.397385844856224,0.397373683562656,0,0,0,1
"ARG",0.0811867411344642,0.0155250798507852,0.0234795658708665,17037.3000901546,16790.7267023674,19143.7118051924,38425.258758292,16663.1687036561,34197.2691173348,14829.6949173703,34225.0392146435,14857.465014679,34443.5179178511,14825.9649646021,34219.3682146586,14751.3755272983,34391.3531050313,14804.4690006802,34433.7253121856,14844.5496344482,16984.1756055681,16790.7267023674,17391.1741973198,2681289.44475655,21309358.5552435,23990648,2617005.881698,20798469.4764452,23415475.3581432,2625319.57267097,20808161.2964464,23433480.8691174,2698782.9736449,21291865.0263551,23990648,2670358,20757000,23427358,38646.1569157333,16634.9607440134,38644.2249925096,16635.2056346751,27.7700973087546,2906312,23990648,0.452686658901282,0.452137242915515,42900.0933425074,42611.5364720541,0.446239397484571,0.44554926498984,0,0,1,0
"ARM",0.135279579626764,0.0417404499606186,0.0611491190894685,16815.203952308,16369.8085548695,18444.6604053016,40757.3791235862,13173.0402758186,37156.7503800533,12009.2945081379,38118.7445897018,12971.2887177865,37208.2601923923,12049.7196568613,36684.0349519584,11875.2597063985,37111.8745777445,12018.7301608409,39284.9649504046,12717.4160199726,16848.2489463769,16369.8085548695,18395.0215453636,370923.901718529,1561565.09828147,1932489,347638.614696303,1463535.57969583,1811174.19439213,347484.498027871,1462959.94834854,1810444.44637641,370497.927136903,1561991.0728631,1932489,346733,1467586,1814319,40710.9180782222,13184.0389010267,40710.4790714212,13184.1430335991,961.994209648524,400977,1932489,0.600621414570917,0.600750272976744,47711.3536541101,46988.3769919313,0.386588495036603,0.38699486293407,0,0,1,0
"AUS",0.0389977394317826,0.0127787145387285,0.0206791759705202,26655.2438187247,26063.1439705301,30541.3826131806,35676.7242150437,28136.2240884508,31137.155598024,24556.1218597965,31242.1284177622,24661.0946795347,31931.1011275862,24212.2042715753,31437.278723521,24025.2207271779,32345.9542044222,24023.2336375,31934.9448523196,24003.8808431516,26154.0348149296,26063.1439705301,26656.503065354,3858679.89237871,10827882.1076213,14686562,4434004.43523036,13898443.0056211,18332447.4408515,5326111.48292024,13048295.8581527,18374407.3410729,4437495.04071116,10249066.9592888,14686562,5820795,12431075,18251870,36573.5220102846,27732.3848715926,37061.4920406372,27525.4480551032,104.972819738209,4425436,14686562,0.464603151584034,0.455066809960498,61582.9516116348,61213.6485318976,0.49593892163185,0.487594311210955,0,0,0,1
"AUT",0.0702203640070062,0.0389550238183163,0.0461127732737142,22250.4166159969,21695.0976979626,25994.8725346115,31793.0993223958,24418.6677076825,27213.4323603694,20901.2576991906,27597.0220588721,21284.8473976932,27623.0307129793,20873.2636990907,27240.7616335017,20651.5328450513,27687.0825699368,20775.3188012307,28051.3288667256,21146.9461890004,22104.5860821296,21695.0976979626,22606.4381491498,1444127.06906563,5875319.93093437,7319447,1480896.94935746,6281093.4695143,7761990.41887176,1589296.32459428,6178846.68869849,7768143.01329276,1524776.17078251,5794670.82921749,7319447,1659383,6104206,7763589,32178.5001937905,24315.5911082063,32346.6264427604,24271.6607932665,383.589698502689,1675682,7319447,0.404351845669045,0.400927710272609,50832.7122013838,50219.6012926683,0.511380790220827,0.509831892168203,0,0,0,1
"AZE",0.0430227360767793,0.0077696933734693,0.0125807842148629,11189.9918032046,11118.9449505276,12078.1791483635,30045.2432899153,9339.52423275652,27835.8204502204,8652.72805831306,28101.594758815,8918.50236690771,27817.7976046346,8660.86134311793,27692.6549265698,8619.16260410704,27806.4405993581,8657.19782252736,28475.8371287381,8862.81857358852,11202.8542164289,11118.9449505276,11414.9516030131,816068.630654838,5331481.36934516,6147550,805677.578188378,5263595.28654307,6069272.86473144,805532.895760258,5261959.76941189,6067492.66517215,815351.918777116,5332198.08122288,6147550,802880,5267329,6070209,30013.2709559792,9344.40540180857,30013.5676296815,9344.36003779482,265.774308594646,838975,6147550,0.556732718570317,0.556836055019423,31893.5959769019,31772.8836003546,0.378702331248906,0.378942328090029,0,0,1,0
"BDI",0.222026182230062,0.0036079961621869,0.00679143882487732,1112.08792267944,1089.32185192349,1328.64887777271,5889.89564554175,1275.97406852343,4929.88171881008,1067.99875798322,4940.00000846519,1078.11704763832,5452.93337205186,1063.23002055212,5283.54367714583,1052.13091804081,5450.0834794184,1062.51278006598,5351.64727668521,1065.56301432178,1089.8423141545,1089.32185192349,1316.63994299685,23211.8762324096,3126636.12376759,3149848,23033.8740351783,3102659.25544621,3125693.12948139,27809.8533616683,3108540.17462104,3136350.02798271,29193.8002675635,3120654.19973244,3149848,35716,3092740,3128456,6510.91797224662,1269.51917016365,6511.86265965247,1269.51033393227,10.1182896551011,45909,3149848,0.331573142291431,0.321854551361865,2711.30920365996,2705.61427913107,0.490039600049742,0.494590715466928,1,0,0,0
"BEL",0.0593887311691756,0.036918182416746,0.0439225108063159,25532.4649847175,24914.188577196,30561.2008870802,36647.9906550805,27932.9252533622,30617.6953457569,23336.6626719733,31933.0295375247,24651.9968637411,31024.2454493815,23279.7628104234,30507.9735083491,22963.9765446168,31165.9392886996,23106.432791093,32551.9986061981,24267.8711333662,25300.7741892232,24914.188577196,25770.0905479935,2240323.74502263,5747835.25497737,7988159,2243269.19054536,6206303.97950965,8449573.17005501,2437450.78032704,6023552.00283959,8461002.78316663,2356781.7764048,5631377.2235952,7988159,2543258,5890085,8433343,37016.5688042936,27776.2417534268,37304.1693901082,27657.3176523072,1315.33419176783,2490001,7988159,0.462981878860701,0.458563312802349,61830.4194290957,61114.1918648695,0.494274520038253,0.490431917144072,0,0,0,1
