iso,wHdd,wLdd,wHSCd,wLSCd,LhSC,LlSC,Lh,Ll
"AFG",8393.10954191686,1796.44165632404,8400.55104830264,1773.79490609052,822843.547454684,9840009.45254532,816943,9605930
"AGO",21071.1890848922,5105.2174165656,21142.5241937613,5122.22943175114,202518.102385836,6606522.89761416,195932,6404055
"ALB",17145.041563559,6112.19423155577,16763.2799635361,5434.65401893908,206896.35971927,2376060.64028073,144520,1704032
"ARE",9858.96394418128,3461.71555358617,9860.24407676585,3462.01023080145,4554758.03875411,24517390.9612459,4549306,24484394
"ARG",35606.8244781006,15456.6781807385,35753.889185954,15435.7908875071,2698782.9736449,21291865.0263551,2670358,20757000
"ARM",39331.7020437374,13363.3241660525,38239.6381642795,12373.9463880513,370497.927136903,1561991.0728631,346733,1467586
"AUS",32772.6932244661,25868.1649846373,32791.7981608427,25257.4603389767,4437495.04071116,10249066.9592888,5820795,12431075
"AUT",29174.5639465122,22496.4773416195,28975.0528690747,22037.9552269991,1524776.17078251,5794670.82921749,1659383,6104206
"AZE",28896.4127166443,9165.57048035743,28510.9407236777,8871.03237356417,815351.918777116,5332198.08122288,802880,5267329
"BDI",5256.64242833464,1146.71376667421,5275.51590938666,1131.78244810532,34822.5232473178,3115025.47675268,35716,3092740
"BEL",34036.019357028,26254.8857639713,32642.1309300701,24647.2600347904,2356781.7764048,5631377.2235952,2543258,5890085
"BEN",14639.4196168457,3186.18213618507,14498.4737040029,3138.02599590371,51601.3189672795,3636924.68103272,50275,3614874
"BFA",13724.9597341884,2896.25913285322,13653.7658318506,2864.29159097338,49998.5727385645,5215259.42726144,49530,5199362
"BGD",8194.13468003075,2003.07210440924,7915.27522825063,1815.76263123473,5286444.46679721,66551703.5332028,5265208,66122183
"BGR",16596.7726400693,11789.7637754323,16455.1722377252,11619.5312977121,1089915.0722118,4346850.9277882,977645,3925168
"BHR",11808.4233222695,4190.35677031326,11819.8340837186,4192.26381966759,281975.780700727,1285323.21929927,280128,1274728
"BHS",49843.5249322485,17199.287666898,50487.4046035026,17683.6093276577,28465.2299254967,218617.770074503,23979,193563
"BIH",23684.0935777322,7866.97037042516,23414.7257397549,7327.82056176211,306207.3232975,3217985.6767025,243343,2615631
"BLR",17648.4833635453,9361.07899042725,17670.3947675761,9268.0937457369,1789188.95758184,8782725.04241816,1774445,8490233
"BLZ",26098.5745837452,8157.03972306522,26444.6596561282,8201.33290555817,19826.8652409548,161143.134759045,13253,123809
"BOL",11622.2976742353,5961.51268045276,11357.1790882331,5715.34146612924,615083.303588705,3658999.6964113,580665,3488327
"BRA",44238.1947440044,7433.23353882278,44185.2477373768,7422.74261922083,10147476.9513321,97235068.0486679,9979212,96606891
"BRB",44569.4561891779,15805.7876103291,46600.9395743499,16754.8630193952,34840.8285857542,233191.171414246,21428,164281
"BRN",83938.6084335852,34079.8317835725,84305.8677848244,34117.9821976805,33736.2020583481,230121.797941652,33150,223689
"BTN",25782.4550049846,5610.82697458946,25787.8656555522,5592.25796410511,19349.8659596218,353375.134040378,19072,348212
"BWA",11903.0965254322,2499.24737276781,11866.2739097997,2494.51981269418,124167.237751378,2719889.76224862,122142,2711432
"CAF",5865.5100974817,1262.2145888996,5904.58627148638,1259.19675562892,16395.5280556761,1749459.47194432,16754,1734680
"CAN",29612.4258923453,23717.2836427299,29708.3218263266,23703.4214757646,12429881.6675175,12375093.3324825,14835053,14591461
"CHE",38767.9882358745,22337.6661867344,38986.2867723594,21578.7867380674,1309278.6895958,4832960.3104042,1640920,5415373
"CHL",46463.6990760387,17677.6138669982,46718.0700525345,17628.903343324,1315963.49949781,8506409.50050219,1337512,8418533
"CHN",15457.649217483,10244.9109072384,15417.6403929716,10140.7100415401,65571033.7724277,756908869.227572,66460859,753190233
"CIV",11052.5635987992,2347.05205965191,10979.8794099909,2303.59624387626,309230.765402391,7770103.23459761,302660,7656129
"CMR",14304.6411555105,3015.16662992684,14206.9774414185,2999.86660502274,220043.393584619,6941678.60641538,210419,6827412
"COG",7866.54510374343,1655.07496346123,7861.61103103572,1646.66502535049,215792.939468242,4188493.06053176,212666,4132807
"COL",33375.2947015436,7408.68192075076,33246.1627095438,7252.12787045302,4016849.35569016,19811441.6443098,3850659,19125596
"COM",5825.96303071298,1519.2712270255,5230.9097004069,1084.81476294557,11045.4954650813,285263.504534919,10299,257631
"CPV",19998.4130554531,5731.03346284077,20475.700227892,5423.26915523542,9899.13729530768,321994.862704692,6069,209962
"CRI",27618.29386266,10504.5662389518,27456.7271039441,10299.1062457585,406583.052670638,2230882.94732936,395277,2160903
"CUB",10921.1024336376,3654.9882215588,11482.5496067015,3754.84501287097,786727.987382972,8038470.01261703,737751,6977597
"CYP",34240.3218248929,15953.8739287842,34090.8678398666,15252.1832894199,266795.090664938,636848.909335062,229698,536814
"CZE",15966.2406859137,14183.4984143307,16030.7039629704,13830.6553754388,1142971.34802427,7424474.65197573,1259264,7449520
"DEU",28015.0959335376,21946.7982701639,28015.5624655755,21691.5312164706,16363888.0961628,47777677.9038372,17568486,49652825
"DJI",9359.46603297086,2410.67544065081,9218.77591954304,2315.31579724198,8740.98609252888,383138.013907471,8569,376969
"DNK",41251.4341188526,28113.6235361303,41456.2497358641,27474.059552549,785666.08095385,2920687.91904615,862794,2953275
"DOM",16250.4205485888,7907.0202139808,15561.349110042,7130.12144605702,798198.975758025,5037090.02424198,695748,4307431
"DZA",18020.4709569845,4755.14719109294,18242.313194556,4784.05612143521,2107577.54306986,18492115.4569301,1990238,17187060
"ECU",15053.0546169269,6216.6410072865,14770.5978678086,5878.30395799325,1416540.7006253,6850802.2993747,1295661,6235227
"EGY",19649.5277172529,6577.3398113509,19182.1035929924,6167.66304806691,4636180.3932,32713353.6068,4658892,32309448
"ERI",5372.34165816723,1164.35689683965,5432.61820228892,1165.95959010754,44728.9140610269,2031571.08593897,44482,1955543
"ESP",29248.6647219966,18950.7018060454,29101.4484403437,18573.7456727497,6912044.45023595,30420355.5497641,7794790,33094603
"EST",33803.9170005396,18688.3089667927,33612.318660502,18250.0330877495,322110.934848407,720778.065151593,326387,709714
"ETH",10275.9663082598,2163.27980181872,10294.7770920065,2143.56128544755,747614.553407726,29888126.4465923,754965,29627280
"FIN",42271.3375748164,22601.6137125065,42503.4468269923,22852.3213955714,1562234.02517882,2409992.97482118,1490185,2378411
"FJI",15837.0996681487,4623.92422224311,16191.0748108217,4399.64832371532,68506.8226487621,493446.177351238,50988,360950
"FRA",37770.0765273049,24615.7732059049,37443.8398041576,23935.6492447017,9558572.39083259,33898691.6091674,11008785,37379631
"FSM",24129.2443743784,6914.66904404151,25991.7977324392,7122.44774341133,7914.31832269528,48577.6816773047,5646,35251
"GAB",23256.6054686634,7251.34742328518,23444.0788324357,7191.44933539596,31865.7026444775,716928.297355523,32536,700321
"GBR",36063.332360062,21751.1577173539,36541.0487313978,21118.7958432599,12306659.6086947,37941887.3913053,14385964,38696611
"GEO",10487.809552265,4926.64950999485,9990.867927571,4483.83270630867,1539364.47718647,1568117.52281353,1445328,1505179
"GHA",12392.6840288817,3600.46602281866,12337.0746206473,3486.03701613664,465183.461058072,9499743.53894193,465336,9237007
"GIN",7034.19394476777,1484.96002851461,7042.77771903062,1465.10357665358,93173.8472860152,3738571.15271398,94001,3691244
"GMB",10075.4701031224,2303.4970888302,9863.62086559535,2173.64636183985,30219.8568755354,728744.143124465,27886,689495
"GNB",6839.57677531,1494.59167584131,6714.69474134774,1408.21821594269,6922.0518828571,637186.948117143,6541,605391
"GNQ",118573.618405201,32229.8583278444,117635.13773666,32792.4603580422,14886.3356032228,295334.664396777,13040,281423
"GRC",22501.8354463103,15839.3741529493,22533.9199654989,15741.3250201576,1731502.07924111,7783311.92075889,1825929,8083969
"GRD",26725.6751631184,8280.18061455811,28367.4050185397,9020.86690745562,13486.2026138273,85104.7973861727,5784,46657
"GTM",51414.0626559729,9948.22997361335,50401.0063152101,9172.85523431695,309458.118983782,5715857.88101622,269611,5127641
"GUY",17009.1775936608,4794.75687140404,17348.2815692598,4330.93452464047,75285.0970094925,607929.902990508,32985,319408
"HND",27198.0149222282,5124.79884520035,25966.41841436,4259.45005128563,199804.387461828,3421242.61253817,169782,3024529
